questions_id,questions,num_respondents,options,Trump_perc,Clinton_perc,Others_Unknown_perc,state
1,Gender,24558,Male,52,41,7,nation
1,Gender,24558,Female,41,54,5,nation
2,Age,24558,18-29,36,55,9,nation
2,Age,24558,30-44,41,51,8,nation
2,Age,24558,45-64,52,44,4,nation
2,Age,24558,65 and older,52,45,3,nation
3,Age,24558,18-24,34,56,10,nation
3,Age,24558,25-29,38,54,8,nation
3,Age,24558,30-39,39,51,10,nation
3,Age,24558,40-49,49,46,5,nation
3,Age,24558,50-64,52,44,4,nation
3,Age,24558,65 and older,52,45,3,nation
4,Age,24558,18-44,39,53,8,nation
4,Age,24558,45 and older,52,44,4,nation
5,Race,24558,White,57,37,6,nation
5,Race,24558,Black,8,89,3,nation
5,Race,24558,Latino,28,66,6,nation
5,Race,24558,Asian,27,65,8,nation
5,Race,24558,Other race,36,56,8,nation
6,Race,24558,White,57,37,6,nation
6,Race,24558,Non-white,21,74,5,nation
7,Race and gender,24558,White men,62,31,7,nation
7,Race and gender,24558,White women,52,43,5,nation
7,Race and gender,24558,Black men,13,82,5,nation
7,Race and gender,24558,Black women,4,94,2,nation
7,Race and gender,24558,Latino men,32,63,5,nation
7,Race and gender,24558,Latino women,25,69,6,nation
7,Race and gender,24558,Others,31,61,8,nation
8,Age by race,24558,Whites 18-29,47,43,10,nation
8,Age by race,24558,Latinos 30-44,28,65,7,nation
8,Age by race,24558,Latinos 45-64,32,64,4,nation
8,Age by race,24558,Latinos 65 and older,25,73,2,nation
8,Age by race,24558,All others,31,61,8,nation
8,Age by race,24558,Whites 30-44,54,37,9,nation
8,Age by race,24558,Whites 45-64,62,34,4,nation
8,Age by race,24558,Whites 65 and older,58,39,3,nation
8,Age by race,24558,Blacks 18-29,9,85,6,nation
8,Age by race,24558,Blacks 30-44,7,89,4,nation
8,Age by race,24558,Blacks 45-64,9,90,1,nation
8,Age by race,24558,Blacks 65 and older,9,91,0,nation
8,Age by race,24558,Latinos 18-29,26,68,6,nation
9,Education,24558,High school or less,51,46,3,nation
9,Education,24558,Some college,51,43,6,nation
9,Education,24558,College graduate,44,49,7,nation
9,Education,24558,Postgraduate,37,58,5,nation
10,Are you a college graduate?,24558,Yes,42,52,6,nation
10,Are you a college graduate?,24558,No,51,44,5,nation
11,Education and race,24558,White college graduates,48,45,7,nation
11,Education and race,24558,Whites no degree,66,29,5,nation
11,Education and race,24558,Non-whites college grads,22,72,6,nation
11,Education and race,24558,Non-whites no degree,20,76,4,nation
12,Education among whites by sex,24558,White college-grad women,44,51,5,nation
12,Education among whites by sex,24558,White non-college women,61,34,5,nation
12,Education among whites by sex,24558,White college-grad men,53,39,8,nation
12,Education among whites by sex,24558,White non-college men,71,23,6,nation
12,Education among whites by sex,24558,Non-whites,21,74,5,nation
13,Income,24558,"Under $30,000",40,53,7,nation
13,Income,24558,"$30K-$49,999",41,52,7,nation
