fips,year,winner
6001,2004,1
6003,2004,1
6005,2004,-1
6007,2004,-1
6009,2004,-1
6011,2004,-1
6013,2004,1
6015,2004,-1
6017,2004,-1
6019,2004,-1
6021,2004,-1
6023,2004,1
6025,2004,1
6027,2004,-1
6029,2004,-1
6031,2004,-1
6033,2004,1
6035,2004,-1
6037,2004,1
6039,2004,-1
6041,2004,1
6043,2004,-1
6045,2004,1
6047,2004,-1
6049,2004,-1
6051,2004,1
6053,2004,1
6055,2004,1
6057,2004,-1
6059,2004,-1
6061,2004,-1
6063,2004,-1
6065,2004,-1
6067,2004,1
6069,2004,1
6071,2004,-1
6073,2004,-1
6075,2004,1
6077,2004,-1
6079,2004,-1
6081,2004,1
6083,2004,1
6085,2004,1
6087,2004,1
6089,2004,-1
6091,2004,-1
6093,2004,-1
6095,2004,1
6097,2004,1
6099,2004,-1
6101,2004,-1
6103,2004,-1
6105,2004,-1
6107,2004,-1
6109,2004,-1
6111,2004,-1
6113,2004,1
6115,2004,-1
6001,2008,1
6003,2008,1
6005,2008,-1
6007,2008,1
6009,2008,-1
6011,2008,-1
6013,2008,1
6015,2008,-1
6017,2008,-1
6019,2008,1
6021,2008,-1
6023,2008,1
6025,2008,1
6027,2008,-1
6029,2008,-1
6031,2008,-1
6033,2008,1
6035,2008,-1
6037,2008,1
6039,2008,-1
6041,2008,1
6043,2008,-1
6045,2008,1
6047,2008,1
6049,2008,-1
6051,2008,1
6053,2008,1
6055,2008,1
6057,2008,1
6059,2008,-1
6061,2008,-1
6063,2008,-1
6065,2008,1
6067,2008,1
6069,2008,1
6071,2008,1
6073,2008,1
6075,2008,1
6077,2008,1
6079,2008,1
6081,2008,1
6083,2008,1
6085,2008,1
6087,2008,1
6089,2008,-1
6091,2008,-1
6093,2008,-1
6095,2008,1
6097,2008,1
6099,2008,1
6101,2008,-1
6103,2008,-1
6105,2008,1
6107,2008,-1
6109,2008,-1
6111,2008,1
6113,2008,1
6115,2008,-1
6001,2012,1
6003,2012,1
6005,2012,-1
6007,2012,-1
6009,2012,-1
6011,2012,-1
6013,2012,1
6015,2012,-1
6017,2012,-1
6019,2012,1
6021,2012,-1
6023,2012,1
6025,2012,1
6027,2012,-1
6029,2012,-1
6031,2012,-1
6033,2012,1
6035,2012,-1
6037,2012,1
6039,2012,-1
6041,2012,1
6043,2012,-1
6045,2012,1
6047,2012,1
6049,2012,-1
6051,2012,1
6053,2012,1
6055,2012,1
6057,2012,-1
6059,2012,-1
6061,2012,-1
6063,2012,-1
6065,2012,1
6067,2012,1
6069,2012,1
6071,2012,1
6073,2012,1
6075,2012,1
6077,2012,1
6079,2012,1
6081,2012,1
6083,2012,1
6085,2012,1
6087,2012,1
6089,2012,-1
6091,2012,-1
6093,2012,-1
6095,2012,1
6097,2012,1
6099,2012,1
6101,2012,-1
6103,2012,-1
6105,2012,-1
6107,2012,-1
6109,2012,-1
6111,2012,1
6113,2012,1
6115,2012,-1
6001,2016,1
6003,2016,1
6005,2016,-1
6007,2016,-1
6009,2016,-1
6011,2016,-1
6013,2016,1
6015,2016,-1
6017,2016,-1
6019,2016,1
6021,2016,-1
6023,2016,1
6025,2016,1
6027,2016,-1
6029,2016,-1
6031,2016,-1
6033,2016,1
6035,2016,-1
6037,2016,1
6039,2016,-1
6041,2016,1
6043,2016,-1
6045,2016,1
6047,2016,1
6049,2016,-1
6051,2016,1
6053,2016,1
6055,2016,1
6057,2016,1
6059,2016,1
6061,2016,-1
6063,2016,-1
6065,2016,1
6067,2016,1
6069,2016,1
6071,2016,1
6073,2016,1
6075,2016,1
6077,2016,1
6079,2016,1
6081,2016,1
6083,2016,1
6085,2016,1
6087,2016,1
6089,2016,-1
6091,2016,-1
6093,2016,-1
6095,2016,1
6097,2016,1
6099,2016,1
6101,2016,-1
6103,2016,-1
6105,2016,-1
6107,2016,-1
6109,2016,-1
6111,2016,1
6113,2016,1
6115,2016,-1
